"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","0-15","Medido","","4133","4133","18646","481254.09",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","0-15","Medido","","4133","4133","18646","279667.78",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","16-25","Medido","","637","637","12758","11329467.67","1396186.28"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","16-25","Medido","","318","318","6269","3256687.56","1787602.14"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","16-25","Medido","","637","637","12758","329283.98",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","16-25","Medido","","637","637","12758","191370",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","26-40","Medido","","520","520","16525","16990257.83","1139743.9"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","26-40","Medido","","234","234","7438","4506658.56","1315405.35"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","26-40","Medido","","520","520","16525","426510.25",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","26-40","Medido","","520","520","16525","247874.61",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","41-60","Medido","","308","308","15122","16821728.13","675079.08"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","41-60","Medido","","129","129","6349","4164107.04","725159.36"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","41-60","Medido","","308","308","15122","390298.82",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","41-60","Medido","","308","308","15122","226830",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","61-80","Medido","","170","170","11871","13750172.54","372608.58"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","61-80","Medido","","80","80","5552","3788518.4","449711.23"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","61-80","Medido","","170","170","11871","306390.51",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","61-80","Medido","","170","170","11871","178065",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","81-100","Medido","","78","78","7031","8316202.69","170961.59"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","81-100","Medido","","41","41","3664","2553106.6","230477.01"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","81-100","Medido","","78","78","7031","181470.11",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","81-100","Medido","","78","78","7031","105465",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","101-120","Medido","","50","50","5452","6528144.1","109590.76"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","101-120","Medido","","19","19","2083","1470776.88","106806.42"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","101-120","Medido","","50","50","5452","140716.12",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","101-120","Medido","","50","50","5452","81780",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","121 y mas","Medido","","288","288","188561","246576665.79","631242.78"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","121 y mas","Medido","","121","121","92551","71401959.36","680188.24"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","121 y mas","Medido","","288","288","188561","4866759.41",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","121 y mas","Medido","","288","288","188561","2828415",""
"ESPH","2019","Diciembre","Acueducto","Empresarial","","Fijo","","3","3","","61781.85","3600"
"ESPH","2019","Diciembre","Alcantarillado","Empresarial","","Fijo","","10","10","10","85725","6000"
"ESPH","2019","Diciembre","Hidrantes","Empresarial","","Fijo","","3","3","","1853.49",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Empresarial","","Fijo","","3","3","","1155",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","0-15","Medido","","197","197","971","308776.65","610579.2"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","0-15","Medido","","81","81","442","94588","51458.82"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","0-15","Medido","","197","197","971","25061.51",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","0-15","Medido","","197","197","971","14565.3",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","16-25","Medido","","40","40","793","293091.44","123975.47"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","16-25","Medido","","22","22","437","108711.12","13976.47"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","16-25","Medido","","40","40","793","20467.33",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","16-25","Medido","","40","40","793","11895",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","26-40","Medido","","38","38","1233","547360.63","117776.7"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","26-40","Medido","","12","12","407","123076.04","7623.53"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","26-40","Medido","","38","38","1233","31823.73",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","26-40","Medido","","38","38","1233","18495",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","41-60","Medido","","39","39","1892","926418.35","120876.09"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","41-60","Medido","","16","16","742","242040.08","10164.71"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","41-60","Medido","","39","39","1892","48832.52",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","41-60","Medido","","39","39","1892","28380",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","61-80","Medido","","28","28","1963","1032018.82","86782.83"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","61-80","Medido","","6","6","395","137673.98","3811.76"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","61-80","Medido","","28","28","1963","50665.03",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","61-80","Medido","","28","28","1963","29445",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","81-100","Medido","","15","15","1382","762665.95","46490.8"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","81-100","Medido","","5","5","445","164188.9","3176.47"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","81-100","Medido","","15","15","1382","35669.42",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","81-100","Medido","","15","15","1382","20730",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","101-120","Medido","","6","6","654","369327.93","18596.32"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","101-120","Medido","","1","1","116","44366.73","635.29"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","101-120","Medido","","6","6","654","16879.74",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","101-120","Medido","","6","6","654","9810",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","121 y mas","Medido","","58","58","25555","15783118.8","179764.43"
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","121 y mas","Medido","","19","19","8661","3600105.92","12070.59"
"ESPH","2019","Diciembre","Hidrantes","Preferencial","121 y mas","Medido","","58","58","25555","659574.55",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","121 y mas","Medido","","58","58","25555","383325",""
"ESPH","2019","Diciembre","Acueducto","Preferencial","","Fijo","","","","","",""
"ESPH","2019","Diciembre","Alcantarillado","Preferencial","","Fijo","","","","","",""
"ESPH","2019","Diciembre","Hidrantes","Preferencial","","Fijo","","","","","",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Preferencial","","Fijo","","","","","",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","0-15","Medido","","98","98","490","372888.67","195670.59"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","0-15","Medido","","58","58","246","110208","34800"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","0-15","Medido","","98","98","490","12646.47",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","0-15","Medido","","98","98","490","7348.61",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","16-25","Medido","","14","14","262","225691.22","27952.94"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","16-25","Medido","","7","7","132","67208.44","4200"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","16-25","Medido","","14","14","262","6762.22",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","16-25","Medido","","14","14","262","3930",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","26-40","Medido","","25","25","812","839049.48","49915.97"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","26-40","Medido","","16","16","515","312942.44","9600"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","26-40","Medido","","25","25","812","20957.72",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","26-40","Medido","","25","25","812","12180",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","41-60","Medido","","12","12","580","643776.21","23959.66"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","41-60","Medido","","4","4","210","138929.04","2400"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","41-60","Medido","","12","12","580","14969.8",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","41-60","Medido","","12","12","580","8700",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","61-80","Medido","","10","10","673","776786.65","19966.39"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","61-80","Medido","","7","7","464","315210.76","4200"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","61-80","Medido","","10","10","769","19847.89",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","61-80","Medido","","10","10","769","11535",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","81-100","Medido","","3","3","293","348459.07","5989.92"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","81-100","Medido","","1","1","100","70214.6","600"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","81-100","Medido","","3","3","197","5084.57",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","81-100","Medido","","3","3","197","2955",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","101-120","Medido","","8","8","871","1042831.37","15973.11"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","101-120","Medido","","6","6","664","469095.12","3600"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","101-120","Medido","","8","8","871","22480.51",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","101-120","Medido","","8","8","871","13065",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","121 y mas","Medido","","28","28","21618","28345972.37","55905.88"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","121 y mas","Medido","","18","18","13374","10313341.92","10800"
"ESPH","2019","Diciembre","Hidrantes","Gobierno","121 y mas","Medido","","28","28","21618","557960.58",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","121 y mas","Medido","","28","28","21618","324270",""
"ESPH","2019","Diciembre","Acueducto","Gobierno","","Fijo","","1","1","","20594.17","1200"
"ESPH","2019","Diciembre","Alcantarillado","Gobierno","","Fijo","","","","","",""
"ESPH","2019","Diciembre","Hidrantes","Gobierno","","Fijo","","1","1","","617.83",""
"ESPH","2019","Diciembre","Tarifa Hidrica","Gobierno","","Fijo","","1","1","","385",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","0-15","Medido","","373821","436024","3296608","1174567366","877317687.59"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","0-15","Medido","","130481","158761","1187784","324530119","192194576.14"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","0-15","Medido","","373821","436024","3296608","79208088",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","0-15","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","16-25","Medido","","145838","161004","3178233","1397989157","323953857.98"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","16-25","Medido","","44267","48906","958153","322312232","59205144.47"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","16-25","Medido","","145838","161004","3178233","76266720",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","16-25","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","26-40","Medido","","57927","62151","1923397","1060450283","125053142.95"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","26-40","Medido","","15439","16035","493975","207807369","19411820.46"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","26-40","Medido","","57927","62151","1923397","46237276",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","26-40","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","41-60","Medido","","12147","13022","620211","406204436","26201380.95"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","41-60","Medido","","2531","2580","122790","61376239","3123323.78"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","41-60","Medido","","12147","13022","620211","14890488",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","41-60","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","61-80","Medido","","2339","2492","171738","142097160","5014117.75"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","61-80","Medido","","412","433","30382","19185715","524185.73"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","61-80","Medido","","2339","2492","171738","4125288",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","61-80","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","81-100","Medido","","753","819","73935","76286323","1647898.25"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","81-100","Medido","","115","116","10888","8628250","140428.51"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","81-100","Medido","","753","819","73935","1779323",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","81-100","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","101-120","Medido","","362","389","43852","50814204","782701.37"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","101-120","Medido","","54","55","6439","5674271","66582.48"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","101-120","Medido","","362","389","43852","1030249",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","101-120","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","121 y mas","Medido","","730","748","271991","430514575","1505040.16"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","121 y mas","Medido","","100","104","20229","21524800","125901.42"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","121 y mas","Medido","","730","748","271991","6469608",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","121 y mas","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Domiciliar","","Fijo","","8975","9814","","39025493","5390588"
"AyA","2019","Diciembre","Alcantarillado","Domiciliar","","Fijo","","679","766","","5240206","934800"
"AyA","2019","Diciembre","Hidrantes","Domiciliar","","Fijo","","8975","9814","","5005618",""
"AyA","2019","Diciembre","Tarifa Hidrica","Domiciliar","","Fijo","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","0-15","Medido","","38291","38299","173863","244547501","77300667.25"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","0-15","Medido","","19193","19197","88305","94836409","23474245"
"AyA","2019","Diciembre","Hidrantes","Empresarial","0-15","Medido","","38291","38299","173863","4229924",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","0-15","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","16-25","Medido","","6111","6114","121897","180137472","12340172.84"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","16-25","Medido","","2907","2909","57810","65147616","3557148.45"
"AyA","2019","Diciembre","Hidrantes","Empresarial","16-25","Medido","","6111","6114","121897","2946372",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","16-25","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","26-40","Medido","","4239","4239","135814","212151752","8555772.43"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","26-40","Medido","","2014","2014","64643","76979699","2462735.29"
"AyA","2019","Diciembre","Hidrantes","Empresarial","26-40","Medido","","4239","4239","135814","3320745",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","26-40","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","41-60","Medido","","2560","2560","126499","203915756","5166968.02"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","41-60","Medido","","1169","1169","57902","71086944","1429462.54"
"AyA","2019","Diciembre","Hidrantes","Empresarial","41-60","Medido","","2560","2560","126499","3092045",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","41-60","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","61-80","Medido","","1309","1309","91035","149267121","2642016.07"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","61-80","Medido","","606","606","42196","52662650","741021.64"
"AyA","2019","Diciembre","Hidrantes","Empresarial","61-80","Medido","","1309","1309","91035","2213404",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","61-80","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","81-100","Medido","","843","843","75944","125687001","1701466.42"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","81-100","Medido","","403","403","36361","45789772","492791.62"
"AyA","2019","Diciembre","Hidrantes","Empresarial","81-100","Medido","","843","843","75944","1820894",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","81-100","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","101-120","Medido","","535","535","59117","98345579","1079815.58"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","101-120","Medido","","267","267","29305","37111465","326489.73"
"AyA","2019","Diciembre","Hidrantes","Empresarial","101-120","Medido","","535","535","59117","1450368",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","101-120","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","121 y mas","Medido","","2267","2267","1011362","1776623826","4575592.38"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","121 y mas","Medido","","991","991","385265","514441625","1211802.72"
"AyA","2019","Diciembre","Hidrantes","Empresarial","121 y mas","Medido","","2267","2267","1011362","24023808",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","121 y mas","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","","Medido","Servicio Temporales","","","","",""
"AyA","2019","Diciembre","Alcantarillado","Empresarial","","Medido","Servicio Temporales","","","","",""
"AyA","2019","Diciembre","Hidrantes","Empresarial","","Medido","Servicio Temporales","","","","",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","","Medido","Servicio Temporales","","","","",""
"AyA","2019","Diciembre","Acueducto","Empresarial","","Fijo","","441","441","","3003634","162000"
"AyA","2019","Diciembre","Alcantarillado","Empresarial","","Fijo","","23","23","","561246","33600"
"AyA","2019","Diciembre","Hidrantes","Empresarial","","Fijo","","441","441","","224910",""
"AyA","2019","Diciembre","Tarifa Hidrica","Empresarial","","Fijo","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","0-15","Medido","","2873","2873","13992","4970248","5770008.15"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","0-15","Medido","","818","818","4269","1167613","993539.08"
"AyA","2019","Diciembre","Hidrantes","Preferencial","0-15","Medido","","2873","2873","13992","393881",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","0-15","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","16-25","Medido","","695","695","14165","6334907","1395807.75"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","16-25","Medido","","228","228","4634","1589850","276927.76"
"AyA","2019","Diciembre","Hidrantes","Preferencial","16-25","Medido","","695","695","14165","388795",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","16-25","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","26-40","Medido","","593","593","18990","10310265","1190955.39"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","26-40","Medido","","216","216","6929","2891489","262352.62"
"AyA","2019","Diciembre","Hidrantes","Preferencial","26-40","Medido","","593","593","18990","497832",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","26-40","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","41-60","Medido","","456","456","22844","13784870","915810.55"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","41-60","Medido","","160","160","7988","3700660","194335.27"
"AyA","2019","Diciembre","Hidrantes","Preferencial","41-60","Medido","","456","456","22844","589824",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","41-60","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","61-80","Medido","","261","261","18314","11805340","524181.04"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","61-80","Medido","","80","80","5601","2765394","97167.64"
"AyA","2019","Diciembre","Hidrantes","Preferencial","61-80","Medido","","261","261","18314","490680",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","61-80","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","81-100","Medido","","163","163","14690","9920725","327362.11"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","81-100","Medido","","65","65","5921","3053999","78948.7"
"AyA","2019","Diciembre","Hidrantes","Preferencial","81-100","Medido","","163","163","14690","359472",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","81-100","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","101-120","Medido","","157","157","17237","11977911","315311.97"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","101-120","Medido","","61","61","6772","3594348","74090.32"
"AyA","2019","Diciembre","Hidrantes","Preferencial","101-120","Medido","","157","157","17237","386496",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","101-120","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","121 y mas","Medido","","665","665","357048","273050394","1335557.05"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","121 y mas","Medido","","263","263","214137","125337078","319438.6"
"AyA","2019","Diciembre","Hidrantes","Preferencial","121 y mas","Medido","","665","665","357048","8347637",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","121 y mas","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Preferencial","","Fijo","","107","107","","851752","48000"
"AyA","2019","Diciembre","Alcantarillado","Preferencial","","Fijo","","9","9","","278390","12000"
"AyA","2019","Diciembre","Hidrantes","Preferencial","","Fijo","","107","107","","55080",""
"AyA","2019","Diciembre","Tarifa Hidrica","Preferencial","","Fijo","","","","","",""
"AyA","2019","Diciembre","Acueducto","Gobierno","0-15","Medido","","849","849","4052","5684623","1705997.14"
"AyA","2019","Diciembre","Alcantarillado","Gobierno","0-15","Medido","","366","366","1711","1829475","443238.75"
"AyA","2019","Diciembre","Hidrantes","Gobierno","0-15","Medido","","849","849","4052","195815",""
"AyA","2019","Diciembre","Tarifa Hidrica","Gobierno","0-15","Medido","","","","","",""
"AyA","2019","Diciembre","Acueducto","Gobierno","16-25","Medido","","174","174","3514","5208070","349638.99"
"AyA","2019","Diciembre","Alcantarillado","Gobierno","16-25","Medido","","76","76","1526","1723862","92038.65"
"AyA","2019","Diciembre","Hidrantes","Gobierno","16-25","Medido","","174","174","3514","156816",""
"AyA","2019","Diciembre","Tarifa Hidrica","Gobierno","16-25","Medido","","","","","",""
